iter	Passed	Remaining
0	2	235
1	4	233
2	7	228
3	8	215
4	11	215
5	13	211
6	15	208
7	17	206
8	20	203
9	22	201
10	24	201
11	27	199
12	29	196
13	31	194
14	33	191
15	36	192
16	39	190
17	41	188
18	43	185
19	45	183
20	48	180
21	51	182
22	54	181
23	56	178
24	59	177
25	61	175
26	64	174
27	66	171
28	69	169
29	71	167
30	74	166
31	77	164
32	79	161
33	82	159
34	85	158
35	87	155
36	90	153
37	92	150
38	94	148
39	97	145
40	99	142
41	100	138
42	102	135
43	104	133
44	107	130
45	109	128
46	111	125
47	113	123
48	115	120
49	118	118
50	121	116
51	124	114
52	126	112
53	128	109
54	130	106
55	132	104
56	135	102
57	138	100
58	140	97
59	142	95
60	144	92
61	147	90
62	149	87
63	151	85
64	154	83
65	156	80
66	158	78
67	160	75
68	163	73
69	165	70
70	167	68
71	169	66
72	172	63
73	174	61
74	176	58
75	178	56
76	181	54
77	183	51
78	185	49
79	188	47
80	190	44
81	192	42
82	194	39
83	197	37
84	199	35
85	201	32
86	203	30
87	205	28
88	208	25
89	210	23
90	212	21
91	214	18
92	216	16
93	219	13
94	221	11
95	223	9
96	225	6
97	228	4
98	230	2
99	232	0
