iter	Passed	Remaining
0	159	159827
1	162	81149
2	167	55674
3	170	42352
4	172	34347
5	175	29002
6	177	25211
7	183	22775
8	186	20505
9	188	18669
10	191	17185
11	195	16136
12	198	15092
13	201	14170
14	203	13386
15	206	12680
16	210	12171
17	212	11608
18	215	11104
19	217	10651
20	220	10259
21	225	10044
22	228	9698
23	231	9416
24	234	9161
25	239	8979
26	243	8786
27	246	8541
28	248	8317
29	251	8122
30	254	7964
31	257	7780
32	259	7604
33	261	7438
34	264	7278
35	268	7177
36	270	7034
37	272	6900
38	274	6772
39	276	6647
40	281	6579
41	283	6471
42	286	6366
43	288	6265
44	290	6168
45	294	6109
46	296	6019
47	299	5931
48	301	5847
49	303	5769
50	308	5742
51	311	5671
52	313	5599
53	315	5529
54	317	5460
55	322	5432
56	324	5369
57	326	5305
58	328	5245
59	331	5186
60	333	5134
61	337	5101
62	339	5050
63	341	4999
64	344	4948
65	346	4900
66	350	4882
67	353	4842
68	355	4797
69	357	4753
70	360	4715
71	363	4680
72	366	4651
73	368	4611
74	370	4571
75	373	4536
76	375	4502
77	381	4506
78	386	4501
79	388	4469
80	391	4441
81	399	4472
82	400	4429
83	403	4401
84	406	4371
85	410	4358
86	412	4330
87	414	4299
88	417	4269
89	419	4240
90	421	4211
91	425	4202
92	428	4175
93	430	4148
94	432	4122
95	434	4095
96	439	4086
97	441	4066
98	444	4042
99	446	4017
100	448	3993
101	450	3969
102	454	3961
103	457	3938
104	459	3915
105	461	3893
106	463	3871
107	469	3874
108	471	3857
109	474	3838
110	476	3818
111	484	3841
112	487	3829
113	490	3814
114	493	3797
115	498	3795
116	500	3776
117	503	3761
118	506	3746
119	508	3730
120	514	3740
121	517	3723
122	520	3708
123	522	3693
124	527	3690
125	531	3688
126	533	3670
127	536	3657
128	539	3644
129	544	3646
130	547	3631
131	549	3616
132	553	3610
133	560	3619
134	562	3606
135	565	3594
136	570	3594
137	578	3611
138	583	3613
139	608	3739
140	613	3736
141	615	3718
142	623	3737
143	627	3729
144	629	3714
145	632	3698
146	637	3702
147	642	3696
148	646	3690
149	648	3676
150	655	3685
151	658	3672
152	661	3661
153	664	3648
154	670	3655
155	673	3643
156	675	3628
157	677	3613
158	680	3601
159	684	3592
160	686	3575
161	688	3561
162	690	3545
163	692	3531
164	697	3529
165	701	3522
166	703	3509
167	705	3495
168	708	3482
169	713	3481
170	715	3470
171	718	3457
172	720	3444
173	723	3435
174	727	3430
175	730	3421
176	733	3409
177	736	3399
178	747	3427
179	750	3417
180	753	3407
181	758	3410
182	761	3399
183	763	3387
184	766	3376
185	772	3379
186	774	3369
187	777	3357
188	779	3346
189	785	3347
190	787	3336
191	790	3326
192	793	3316
193	795	3305
194	800	3303
195	803	3295
196	805	3285
197	808	3274
198	810	3264
199	816	3267
200	819	3257
201	821	3246
202	824	3236
203	826	3226
204	832	3227
205	834	3217
206	837	3207
207	840	3198
208	849	3213
209	853	3210
210	857	3206
211	863	3210
212	866	3201
213	869	3191
214	871	3181
215	873	3172
216	876	3163
217	879	3153
218	881	3144
219	884	3134
220	886	3125
221	892	3126
222	894	3116
223	896	3107
224	899	3097
225	903	3095
226	906	3087
227	909	3078
228	911	3069
229	914	3060
230	918	3058
231	921	3049
232	923	3040
233	926	3031
234	928	3022
235	932	3020
236	936	3013
237	938	3004
238	940	2996
239	943	2987
240	948	2986
241	951	2979
242	953	2971
243	957	2966
244	963	2970
245	967	2965
246	970	2959
247	973	2953
248	980	2957
249	985	2955
250	988	2948
251	991	2942
252	995	2939
253	998	2931
254	1001	2924
255	1003	2917
256	1006	2911
